date,usd_inr_rate,status,gold_usd,gold_inr,palladium_usd,palladium_inr,platinum_usd,platinum_inr,silver_usd,silver_inr
2017-01-01,67.9548,OK,1151.9808,78282.62486784002,681.4682,46309.03523736,902.4945,61328.83324860001,15.9287,1082.43162276
2017-01-02,68.1434,OK,1150.5097,78399.64269098,681.9701,46471.76131234,903.4893,61566.83276562,15.971,1088.3182414
2017-01-03,68.3637,OK,1157.8228,79153.05055235999,709.7282,48519.64574634,933.3582,63807.81997734,16.2905,1113.67885485
2017-01-04,67.9055,OK,1164.6053,79083.10519915,737.3435,50069.67903925,942.3561,63991.16214855,16.4559,1117.44611745
2017-01-05,67.76,OK,1180.6654,80001.88750400001,739.0874,50080.562224,968.4386,65621.399536,16.5994,1124.7753440000001
2017-01-06,68.1114,OK,1172.4841,79859.53352874,751.3035,51172.3332099,967.7263,65913.19310982,16.4849,1122.8096178600001
2017-01-07,68.1155,OK,1172.3742,79856.8548201,746.4748,50846.5042394,968.5511,65973.34245205,16.4874,1123.0474947
2017-01-08,68.1403,OK,1173.8329,79985.32595587001,746.4748,50865.016814439994,968.9922,66027.41920566,16.5167,1125.45289301
2017-01-09,68.09005,OK,1181.9353,80478.033673765,752.4907,51237.129387535,974.8679,66378.804054395,16.5841,1129.212198205
2017-01-10,68.26575,OK,1186.676,81009.32714699999,755.2357,51556.73148727499,977.3929,66722.459363175,16.7789,1145.4241926749999
2017-01-11,68.2795,OK,1192.8335,81446.07496325,750.272,51228.197024,973.6435,66479.89135825,16.7518,1143.8045281
2017-01-12,67.9855,OK,1196.0149,81311.67098395,751.3882,51083.5024711,973.871,66209.1068705,16.7869,1141.26578995
2017-01-13,68.1716,OK,1197.4614,81632.85957624,747.4847,50957.22797452,983.8453,67070.30825347999,16.805,1145.623738
2017-01-14,68.1805,OK,1197.5474,81649.38050569998,745.7566,50846.0578663,984.4942,67123.3068031,16.8125,1146.28465625
2017-01-15,68.1678,OK,1203.4418,82035.97993404,745.7566,50836.58675748,986.4949,67247.18704422,16.875,1150.331625
2017-01-16,68.091,OK,1203.1667,81924.82376969999,744.9899,50727.107280899996,982.492,66898.862772,16.8023,1144.0854092999998
2017-01-17,67.9164,OK,1215.6133,82560.07912811999,746.9989,50733.47609196,976.1907,66299.35805748,17.1566,1165.21450824
2017-01-18,68.1178,OK,1202.6892,81924.54238776001,747.2055,50897.9948079,962.5936,65569.75832608,17.0438,1160.98615964
2017-01-19,68.0944,OK,1203.949,81982.1847856,749.9681,51068.62778864,957.7902,65220.14899487999,16.9979,1157.46180176
2017-01-20,68.045,OK,1209.7603,82318.1396135,765.4916,52087.875922,976.8296,66468.370132,17.0762,1161.950029
2017-01-21,68.0828,OK,1209.8628,82370.84703984001,746.4748,50822.09451344,977.1541,66527.38715948,17.0802,1162.86784056
2017-01-22,68.0755,OK,1215.3326,82734.3744113,746.4748,50816.6452474,981.4698,66814.0473699,17.1582,1168.0530441
2017-01-23,68.1,OK,1217.1077,82885.03437,761.0929,51830.42649,979.7486,66720.87965999999,17.2033,1171.5447299999998
2017-01-24,68.13,OK,1209.0729,82374.13667699999,765.7144,52168.12207199999,995.6094,67830.868422,17.0895,1164.307635
2017-01-25,68.0415,OK,1200.5234,81685.4129211,733.197,49887.823675499996,981.1906,66761.6802099,16.9798,1155.3310617
2017-01-26,68.18,OK,1188.2129,81012.35552200001,722.4755,49258.379590000004,975.7335,66525.51003,16.7765,1143.82177
2017-01-27,68.07005,OK,1190.9299,81066.657839495,738.4161,50264.020847805,984.6687,67026.44764243499,17.1368,1166.5028328399999
2017-01-28,68.105,OK,1190.7881,81098.62355050001,741.7572,50517.374106,985.7461,67134.2381405,17.1375,1167.1494375
2017-01-29,68.105,OK,1194.4149,81345.6267645,741.4712,50497.896076,986.9915,67219.0561075,17.1956,1171.106338
2017-01-30,67.8088,OK,1196.5157,81134.29379816,740.7353,50228.371810640005,987.6056,66968.35060928001,17.1395,1162.2089276000002
2017-01-31,67.4856,OK,1211.5338,81761.08541328,748.1222,50487.47554032,995.7779,67200.66904824002,17.5476,1184.2103145600001
2017-02-01,67.4599,OK,1209.3507,81582.67728693,752.859,50787.79285410001,997.9841,67323.90758759,17.5447,1183.56370753
2017-02-02,67.2091,OK,1215.2736,81677.44490976,750.2157,50421.32200287,998.592,67114.4695872,17.4408,1172.1804712800001
2017-02-03,67.1365,OK,1220.3307,81928.73204054999,746.3021,50104.110936649995,1003.3411,67360.80976014999,17.4928,1174.4053672
2017-02-04,67.1845,OK,1220.5839,82004.31902955001,746.6197,50161.27123465,1003.4922,67419.1217109,17.5093,1176.35356585
2017-02-05,67.1673,OK,1221.0907,82017.36537411,746.6197,50148.429375809996,1003.9959,67435.69381407,17.493,1174.9575788999998
2017-02-06,67.2035,OK,1234.0042,82929.40125470002,759.0248,51009.123146800004,1012.6172,68051.42000020001,17.7259,1191.24252065
2017-02-07,67.35,OK,1232.453,83005.70954999999,753.4489,50744.78341499999,1002.9185,67546.560975,17.6858,1191.13863
2017-02-08,67.0485,OK,1240.8179,83194.97896815001,757.3118,50776.6202223,1014.8678,68045.3636883,17.7659,1191.17694615
2017-02-09,66.744,OK,1228.0788,81966.8914272,758.1041,50598.9000504,1012.6172,67586.1223968,17.6468,1177.8180192
2017-02-10,66.8285,OK,1233.6084,82440.19895940002,764.7774,51108.9264759,1010.2847,67515.81107395001,17.9495,1199.53816075
2017-02-11,66.8535,OK,1233.3954,82456.79937390001,746.4748,49904.45304179999,1010.1724,67533.5605434,17.9513,1200.10723455
2017-02-12,66.8524,OK,1230.1787,82240.39852388,746.4748,49903.63191952,1006.9885,67319.59799740001,17.9256,1198.36938144
2017-02-13,66.9965,OK,1225.5953,82110.59551644999,760.2308,50932.802792200004,995.9862,66727.5894483,17.8241,1194.15231565
2017-02-14,66.8841,OK,1228.4409,82163.16399969,762.3753,50990.78580273,1000.6204,66925.59489564001,17.9518,1200.68998638
2017-02-15,66.845,OK,1232.9544,82416.836868,767.4303,51298.8784035,1010.0398,67516.110431,17.9788,1201.792886
2017-02-16,67.135,OK,1238.835,83169.18772500001,792.3365,53193.51092750001,1012.0433,67943.52694550001,18.0837,1214.0491995000002
2017-02-17,67.1,OK,1234.9338,82864.05798,776.1143,52077.26952999999,1002.1747,67245.92237,17.9849,1206.7867899999999
2017-02-18,67.0805,OK,1234.7813,82829.74699465,777.0068,52122.0046474,1003.3512,67305.3001716,17.9924,1206.9391882
2017-02-19,67.0752,OK,1236.2468,82921.50135935999,777.472,52149.08989439999,1002.9889,67275.68106527999,18.0214,1208.7890092799998
2017-02-20,66.9087,OK,1237.5778,82804.72174686,772.8752,51712.074894239995,1002.7375,67091.86256625,18.0403,1207.0530206099997
2017-02-21,67.0235,OK,1235.1168,82781.85084479999,779.6055,52251.88922925,1001.1814,67102.6815629,17.9658,1204.1307963000002
2017-02-22,66.9833,OK,1237.3481,82881.65898672999,770.8555,51634.44521315,1002.7475,67167.33661674999,18.0192,1206.98547936
2017-02-23,66.68855,OK,1249.5627,83331.52459708501,773.6106,51590.96917863,1007.8715,67213.488921325,18.1804,1212.42451442
2017-02-24,66.6983,OK,1257.1817,83851.88218111,771.9564,51488.179554120004,1025.6095,68406.41011385001,18.4163,1228.3359022900001
2017-02-25,66.645,OK,1257.482,83804.88789,775.4763,51681.618013499996,1027.9922,68510.54016899999,18.4496,1229.573592
2017-02-26,66.645,OK,1256.1394,83715.410313,774.9655,51647.5757475,1026.4833,68409.9795285,18.3449,1222.5958604999998
2017-02-27,66.7,OK,1253.0543,83578.72181,782.2461,52175.81487,1028.9336,68629.87112000001,18.2871,1219.74957
2017-02-28,66.683,OK,1246.6341,83129.30169030001,770.0956,51352.2848948,1021.774,68134.955642,18.3016,1220.4055928000002
2017-03-01,66.775,OK,1247.6762,83313.57825500001,775.7049,51797.6946975,1015.3109,67797.3853475,18.3981,1228.5331275
2017-03-02,66.8017,OK,1234.9033,82493.63977560999,769.1065,51377.62168105,987.908,65993.9338436,17.8026,1189.2439444200002
2017-03-03,66.7888,OK,1234.4917,82450.21925296,772.5527,51597.86776975999,996.4824,66553.86371712,17.9687,1200.1079105599997
2017-03-04,66.7805,OK,1234.6289,82449.13525645,773.886,51680.494023,998.981,66712.45067050001,17.9725,1200.21253625
2017-03-05,66.7805,OK,1236.1703,82552.07071915001,775.4944,51787.90377920001,1000.4902,66813.2358011,17.9445,1198.34268225
2017-03-06,66.644,OK,1225.6855,81684.58446200001,773.0903,51521.8299532,977.2401,65127.189224400005,17.7758,1184.6504152000002
2017-03-07,66.62725,OK,1216.1603,81029.416348175,772.7916,51488.9791311,960.7625,64012.963278125004,17.4942,1165.59043695
2017-03-08,66.76725,OK,1208.4008,80681.5983138,769.983,51409.64745675,946.898,63221.775490500004,17.2525,1151.901980625
2017-03-09,66.6551,OK,1200.4225,80014.28177975,747.6132,49832.23260732,933.3669,62213.664056190006,16.9322,1128.6174842200003
2017-03-10,66.625,OK,1204.7032,80263.3507,745.7733,49687.1461125,942.0542,62764.361075,17.03,1134.62375
2017-03-11,66.5555,OK,1204.8048,80186.38586639999,747.8369,49772.65879795,942.1075,62702.435716249995,17.0325,1133.6065537499999
2017-03-12,66.495,OK,1206.098,80199.48651,748.4974,49771.334613,942.987,62703.920565,17.003,1130.614485
2017-03-13,66.1742,OK,1202.588,79580.2988296,753.2843,49847.98592506,937.3565,62028.8165023,16.9412,1121.0703570399999
2017-03-14,65.7945,OK,1199.76,78937.60932,743.9867,48950.23293315,935.235,61533.3192075,16.8924,1111.4270118
2017-03-15,65.565,OK,1220.0776,79994.387844,764.2572,50108.523318,952.7257,62465.4605205,17.3185,1135.4874525
2017-03-16,65.42365,OK,1226.7229,80256.68965658499,764.9705,50047.162252325,955.3653,62503.485009345,17.3036,1132.0646701399999
2017-03-17,65.4287,OK,1229.1959,80424.68978233001,773.9878,50641.01556986001,960.4856,62843.32417672,17.3779,1137.0134057300002
2017-03-18,65.4755,OK,1229.6039,80508.93015445,775.4763,50774.69848065,962.9922,63052.395791099996,17.4075,1139.7647662499999
2017-03-19,65.4781,OK,1231.3148,80624.15360588,776.3674,50835.06225394,964.9902,63185.72481461999,17.415,1140.3011115
2017-03-20,65.32165,OK,1234.1261,80615.153160065,780.2564,50967.635471060006,969.1237,63304.759138105,17.4361,1138.954821565
2017-03-21,65.415,OK,1245.2835,81460.22015250001,786.9988,51481.526502,968.3636,63345.504894000005,17.5267,1146.5090805000002
2017-03-22,65.415,OK,1247.4583,81602.4846945,787.2342,51496.925193,959.4903,62765.05797450001,17.5142,1145.691393
2017-03-23,65.454,OK,1245.299,81509.800746,800.5251,52397.56989539999,959.7482,62819.3586828,17.5716,1150.1315063999998
2017-03-24,65.4035,OK,1244.8029,81414.46647014999,809.3431,52933.87144085,962.5102,62951.535865699996,17.7612,1161.6446442
2017-03-25,65.4031,OK,1245.3145,81447.42877494999,809.6838,52955.83053978,964.0227,63050.073050369996,17.7668,1162.00379708
2017-03-26,65.4031,OK,1253.07,81954.66251699999,809.9724,52974.70587444,967.9886,63309.45520465999,17.844,1167.0529164
2017-03-27,65.0575,OK,1253.337,81538.97187750001,792.6191,51565.81709825,965.1857,62792.56867775,18.0595,1174.9059212500001
2017-03-28,65.0459,OK,1250.5002,81339.91095918001,792.7322,51563.979407980005,949.7398,61776.68005682,18.1466,1180.36192894
2017-03-29,64.8749,OK,1252.5364,81258.17369636,789.9955,51250.87906295,952.2449,61776.79266301,18.2145,1181.66386605
2017-03-30,64.785,OK,1243.4254,80555.314539,794.6599,51482.0416215,945.9843,61285.59287549999,18.1095,1173.2239574999999
