date,usd_inr_rate,status,gold_usd,gold_inr,palladium_usd,palladium_inr,platinum_usd,platinum_inr,silver_usd,silver_inr
2017-01-01,67.9548,OK,1151.9808,78282.624868,681.4682,46309.035237,902.4945,61328.833249,15.9287,1082.431623
2017-01-02,68.1434,OK,1150.5097,78399.642691,681.9701,46471.761312,903.4893,61566.832766,15.971,1088.318241
2017-01-03,68.3637,OK,1157.8228,79153.050552,709.7282,48519.645746,933.3582,63807.819977,16.2905,1113.678855
2017-01-04,67.9055,OK,1164.6053,79083.105199,737.3435,50069.679039,942.3561,63991.162149,16.4559,1117.446117
2017-01-05,67.76,OK,1180.6654,80001.887504,739.0874,50080.562224,968.4386,65621.399536,16.5994,1124.775344
2017-01-06,68.1114,OK,1172.4841,79859.533529,751.3035,51172.333210,967.7263,65913.193110,16.4849,1122.809618
2017-01-07,68.1155,OK,1172.3742,79856.854820,746.4748,50846.504239,968.5511,65973.342452,16.4874,1123.047495
2017-01-08,68.1403,OK,1173.8329,79985.325956,746.4748,50865.016814,968.9922,66027.419206,16.5167,1125.452893
2017-01-09,68.09005,OK,1181.9353,80478.033674,752.4907,51237.129388,974.8679,66378.804054,16.5841,1129.212198
2017-01-10,68.26575,OK,1186.676,81009.327147,755.2357,51556.731487,977.3929,66722.459363,16.7789,1145.424193
2017-01-11,68.2795,OK,1192.8335,81446.074963,750.272,51228.197024,973.6435,66479.891358,16.7518,1143.804528
2017-01-12,67.9855,OK,1196.0149,81311.670984,751.3882,51083.502471,973.871,66209.106870,16.7869,1141.265790
2017-01-13,68.1716,OK,1197.4614,81632.859576,747.4847,50957.227975,983.8453,67070.308253,16.805,1145.623738
2017-01-14,68.1805,OK,1197.5474,81649.380506,745.7566,50846.057866,984.4942,67123.306803,16.8125,1146.284656
2017-01-15,68.1678,OK,1203.4418,82035.979934,745.7566,50836.586757,986.4949,67247.187044,16.875,1150.331625
2017-01-16,68.091,OK,1203.1667,81924.823770,744.9899,50727.107281,982.492,66898.862772,16.8023,1144.085409
