date,usd_inr_rate
2015-01-04,63.2855
2015-01-05,63.2855
2015-01-06,63.43
2015-01-07,63.34
2015-01-08,63.29
2015-01-09,62.49
2015-01-10,62.16
2015-01-11,62.3555
2015-01-12,62.3555
2015-01-13,62.08
2015-01-14,62.0
2015-01-15,62.13
2015-01-16,61.865
2015-01-17,61.61
2015-01-18,61.8705
2015-01-19,61.8705
2015-01-20,61.64
2015-01-21,61.705
2015-01-22,61.56
2015-01-23,61.36
2015-01-24,61.43
2015-01-25,61.4405
2015-01-26,61.4405
2015-01-27,61.465
2015-01-28,61.4
2015-01-29,61.32
2015-01-30,61.9515
2015-01-31,62.16
2015-02-01,62.0205
2015-02-02,62.0205
2015-02-03,61.705
2015-02-04,61.6275
2015-02-05,61.7505
2015-02-06,61.6875
2015-02-07,61.9875
2015-02-08,61.9705
2015-02-09,61.9705
2015-02-10,62.1175
2015-02-11,62.3265
2015-02-12,62.495
2015-02-13,62.0705
2015-02-14,62.0415
2015-02-15,62.075
2015-02-16,62.0765
2015-02-17,62.1465
2015-02-18,62.1525
2015-02-19,62.2335
2015-02-20,62.0905
2015-02-21,62.2505
2015-02-22,62.1085
2015-02-23,62.1085
2015-02-24,62.1655
2015-02-25,62.0
2015-02-26,61.8585
2015-02-27,61.7525
2015-02-28,61.68
2015-03-01,61.6585
2015-03-02,61.6585
2015-03-03,61.8865
2015-03-04,61.7805
2015-03-05,62.2995
2015-03-06,62.2655
2015-03-07,62.81
2015-03-08,62.4605
2015-03-09,62.4605
2015-03-10,62.705
2015-03-11,62.87
2015-03-12,62.86
2015-03-13,62.555
2015-03-14,63.0735
2015-03-15,63.0835
2015-03-16,63.0835
2015-03-17,62.7935
2015-03-18,62.73
2015-03-19,62.665
2015-03-20,62.48
2015-03-21,62.225
2015-03-22,62.4105
2015-03-23,62.4105
2015-03-24,62.16
2015-03-25,62.3565
2015-03-26,62.3835
2015-03-27,62.855
2015-03-28,62.5005
2015-03-29,62.5225
2015-03-30,62.5225
2015-03-31,62.5005
2015-04-01,62.32
2015-04-02,62.1515
2015-04-03,62.1525
2015-04-04,61.99
2015-04-05,62.0675
2015-04-06,62.0675
2015-04-07,62.18
2015-04-08,62.255
2015-04-09,62.25
2015-04-10,62.2575
2015-04-11,62.2205
2015-04-12,62.2765
2015-04-13,62.2765
2015-04-14,62.43
2015-04-15,62.2925
2015-04-16,62.3155
2015-04-17,62.2975
2015-04-18,62.4865
2015-04-19,62.5505
2015-04-20,62.5505
2015-04-21,63.16
2015-04-22,62.88
2015-04-23,62.9145
2015-04-24,63.2325
2015-04-25,63.735
2015-04-26,63.6625
2015-04-27,63.6625
2015-04-28,63.315
2015-04-29,63.0495
2015-04-30,63.45
2015-05-01,63.5545
2015-05-02,63.715
2015-05-03,63.5305
2015-05-04,63.5305
2015-05-05,63.6065
2015-05-06,63.3315
2015-05-07,63.67
2015-05-08,64.1125
2015-05-09,63.7
2015-05-10,63.7115
2015-05-11,63.7115
2015-05-12,63.9025
2015-05-13,64.2125
2015-05-14,63.9545
2015-05-15,63.34
2015-05-16,63.3515
2015-05-17,63.4405
2015-05-18,63.4405
2015-05-19,63.6075
2015-05-20,63.7765
2015-05-21,63.665
2015-05-22,63.5275
2015-05-23,63.4795
2015-05-24,63.4905
2015-05-25,63.4905
2015-05-26,63.4965
2015-05-27,63.8875
2015-05-28,63.9165
2015-05-29,63.7485
2015-05-30,63.7095
2015-05-31,63.7435
2015-06-01,63.7435
2015-06-02,63.6145
2015-06-03,63.6685
2015-06-04,64.0465
2015-06-05,63.9905
2015-06-06,64.105
2015-06-07,63.7695
2015-06-08,63.7695
2015-06-09,63.9595
2015-06-10,64.0305
2015-06-11,63.7915
2015-06-12,64.0035
2015-06-13,64.0275
2015-06-14,64.0995
2015-06-15,64.0995
2015-06-16,64.0435
2015-06-17,64.2165
2015-06-18,64.1325
2015-06-19,63.6025
2015-06-20,63.4555
2015-06-21,63.4995
2015-06-22,63.4995
2015-06-23,63.4805
2015-06-24,63.5805
2015-06-25,63.5105
2015-06-26,63.5055
2015-06-27,63.5985
2015-06-28,63.4515
2015-06-29,63.4515
2015-06-30,63.67
2015-07-01,63.64
2015-07-02,63.5985
2015-07-03,63.3615
2015-07-04,63.4345
2015-07-05,63.485
2015-07-06,63.4115
2015-07-07,63.2585
2015-07-08,63.55
2015-07-09,63.495
2015-07-10,63.3115
2015-07-11,63.3295
2015-07-12,63.3595
2015-07-13,63.3595
2015-07-14,63.4345
2015-07-15,63.3365
2015-07-16,63.4905
2015-07-17,63.4495
2015-07-18,63.4725
2015-07-19,63.485
2015-07-20,63.485
2015-07-21,63.5815
2015-07-22,63.5695
2015-07-23,63.6575
2015-07-24,63.8295
2015-07-25,64.0595
2015-07-26,64.1075
2015-07-27,64.1075
2015-07-28,64.2125
2015-07-29,63.7885
2015-07-30,63.8
2015-07-31,64.1395
2015-08-01,63.9405
2015-08-02,63.9875
2015-08-03,63.9875
2015-08-04,64.1025
2015-08-05,63.7915
2015-08-06,63.7105
2015-08-07,63.7025
2015-08-08,63.7455
2015-08-09,63.7385
2015-08-10,63.7385
2015-08-11,63.7545
2015-08-12,64.43
2015-08-13,65.07
2015-08-14,65.2645
2015-08-15,65.0715
2015-08-16,65.1295
2015-08-17,65.1295
2015-08-18,65.4055
2015-08-19,65.4725
2015-08-20,65.2085
2015-08-21,65.49
2015-08-22,66.21
2015-08-23,66.0335
2015-08-24,66.0335
2015-08-25,66.93
2015-08-26,66.0895
2015-08-27,66.1275
2015-08-28,66.0095
2015-08-29,66.1905
2015-08-30,66.1505
2015-08-31,66.1505
2015-09-01,66.3475
2015-09-02,66.3575
2015-09-03,66.1625
2015-09-04,66.1075
2015-09-05,66.6625
2015-09-06,66.6855
2015-09-07,66.6855
2015-09-08,66.9065
2015-09-09,66.4705
2015-09-10,66.4765
2015-09-11,66.3775
2015-09-12,66.34
2015-09-13,66.2415
2015-09-14,66.2415
2015-09-15,66.3105
2015-09-16,66.3885
2015-09-17,66.185
2015-09-18,66.1035
2015-09-19,65.7265
2015-09-20,65.8685
2015-09-21,65.8685
2015-09-22,65.6895
2015-09-23,65.8795
2015-09-24,66.21
2015-09-25,66.1915
2015-09-26,66.1315
2015-09-27,66.1705
2015-09-28,66.1705
2015-09-29,66.3
2015-09-30,65.8665
2015-10-01,65.5205
2015-10-02,65.5905
2015-10-03,65.25
2015-10-04,65.3645
2015-10-05,65.3645
2015-10-06,65.1325
2015-10-07,65.2
